zipcode,percentage,area
53001,17.4427198817443,rural
53002,20.305569245934,rural
53004,10.5481727574751,rural
53005,10.1981697280927,urban
53006,6.11353711790393,rural
53007,15.866388308977,urban
53010,17.7319241737963,rural
53011,15.1655629139073,rural
53012,11.7212768949515,urban
53013,10.5006105006105,rural
53014,7.31553500105108,rural
53015,11.4617940199336,rural
53017,16.2398774348873,urban
53018,4.49850814780813,urban
53019,6.45973154362416,rural
53020,13.9590443686007,rural
53021,12.5433680277555,rural
53022,21.6120275631656,urban
53023,14.8409893992933,rural
53024,10.7733333333333,urban
53027,14.4422193426788,urban
53029,5.60704960835509,urban
53032,20.9728183118741,urban
53033,17.430953621678,urban
53034,13.5158254918734,rural
53035,15.0356448476993,rural
53036,8.17307692307692,rural
53037,24.6162512322208,urban
53038,9.05485789821546,urban
53039,16.1969904240766,urban
53040,29.3207362762665,rural
53042,9.7647498132935,urban
53044,12.3407109322602,urban
53045,8.28163584894296,urban
53046,23.6434108527132,urban
53048,10.6611078022633,rural
53049,7.52688172043011,rural
53050,11.5846789335336,urban
53051,18.2479150331456,urban
53058,5.66640063846768,urban
53059,9.6551724137931,rural
53061,7.31152204836415,urban
53063,6.97329376854599,rural
53066,4.29502131424435,urban
53070,15.4758695066056,urban
53072,6.25259228535877,urban
53073,13.0305935675063,urban
53074,8.10890796093519,urban
53075,12.1961441743504,rural
53076,20.4192546583851,rural
53078,11.9367588932806,rural
53079,9.00562851782364,rural
53080,11.8128123580191,urban
53081,14.3544142999728,urban
53083,14.5056833201163,urban
53085,16.414787258777,urban
53086,18.3336008990207,urban
53089,14.4458818456231,urban
53090,24.5298788132052,urban
53091,16.5825977301387,rural
53092,9.4075617743376,urban
53093,12.826420890937,rural
53094,8.19649318118564,urban
53095,26.2373678025852,urban
53097,9.53065134099617,urban
53098,7.46957616449853,urban